building_id,building_name,building_type,location_city,climate_zone,year_built,floor_area_sqft,number_of_floors,occupancy_type,average_occupancy_rate,primary_material,facade_type,window_to_wall_ratio,insulation_level,hvac_system_type,lighting_system_type,renewable_energy_flag,solar_panel_capacity_kw,green_roof_flag,leed_certification_level,data_source
BLDG_20209,BRITTANY HOUSE CONDOMINIUM,Residential,Seattle,4C (Marine),1977,27504.0,4,Residential,0.92,Composite,Masonry,0.26,High,Standard HVAC,Smart LED,False,0.0,False,Certified,Seattle Open Data (2020)
BLDG_25710,GEE HOW OAK TIN,Residential,Seattle,4C (Marine),1907,25600.0,3,Residential,0.91,Brick,Masonry,0.25,High,Heat Pump,Smart LED,True,123.6,False,Gold,Seattle Open Data (2020)
BLDG_21221,KING COUNTY METRO NORTH FACILITIES MAINTENANCE,Government,Seattle,4C (Marine),2009,20909.0,1,Government,0.91,Timber,Insulated Panels,0.45,Medium,Electric Resistance,Fluorescent,False,0.0,False,None,Seattle Open Data (2020)
BLDG_23161,LESCHI CENTER,Healthcare,Seattle,4C (Marine),1988,45145.0,1,Healthcare,0.87,Composite,Insulated Panels,0.31,Medium,Heat Pump,LED,False,0.0,False,Gold,Seattle Open Data (2020)
BLDG_21373,PAUL REVERE APTS,Residential,Seattle,4C (Marine),1923,43606.0,4,Residential,0.97,Concrete,Window Wall,0.43,High,Heat Pump,Smart LED,True,279.4,False,Gold,Seattle Open Data (2020)
BLDG_19776,AMAZON DISTRIBUTION CENTER,Mixed Use,Seattle,4C (Marine),2002,28142.0,1,Mixed Use,0.86,Timber,Curtain Wall,0.45,Low,Standard HVAC,Fluorescent,False,0.0,False,None,Seattle Open Data (2020)
BLDG_22759,GREENWOOD COURT MANOR,Residential,Seattle,4C (Marine),1995,26040.0,3,Residential,0.94,Steel,Curtain Wall,0.34,Medium,High Efficiency HVAC,Fluorescent,False,0.0,False,None,Seattle Open Data (2020)
BLDG_50000,NINE & PINE APARTMENTS,Residential,Seattle,4C (Marine),2014,74509.0,7,Residential,0.89,Concrete,Rain Screen,0.32,Medium,Standard HVAC,LED,False,0.0,False,None,Seattle Open Data (2020)
BLDG_21172,LEDGER MARINE CHARTERS,Office,Seattle,4C (Marine),1981,23600.0,2,Office,0.91,Composite,Masonry,0.34,Low,Standard HVAC,LED,False,0.0,False,None,Seattle Open Data (2020)
BLDG_25745,TRINITY PARISH EPISCOPAL CHURCH,Mixed Use,Seattle,4C (Marine),1900,48850.0,1,Mixed Use,0.95,Glass-heavy facade,Curtain Wall,0.83,High,High Efficiency HVAC,Smart LED,False,0.0,False,None,Seattle Open Data (2020)
BLDG_22136,COLUMBIA PLACE,Residential,Seattle,4C (Marine),1983,52228.0,4,Residential,0.96,Composite,Window Wall,0.5,Medium,District Heating,LED,False,0.0,False,Certified,Seattle Open Data (2020)
BLDG_25603,TRIO,Residential,Seattle,4C (Marine),2006,131500.0,6,Residential,0.86,Concrete,Rain Screen,0.4,High,District Heating,Smart LED,True,145.3,False,Platinum,Seattle Open Data (2020)
BLDG_411,JOSHUA GREEN BUILDING,Office,Seattle,4C (Marine),1910,109266.0,10,Office,0.92,Composite,Rain Screen,0.36,Medium,District Heating,Smart LED,False,0.0,False,Certified,Seattle Open Data (2020)
BLDG_21650,THE MARK SPENCER,Residential,Seattle,4C (Marine),1958,28833.0,5,Residential,0.92,Composite,Rain Screen,0.4,High,District Heating,LED,False,0.0,False,Certified,Seattle Open Data (2020)
BLDG_19808,ARCADIAN COURT CONDOMINIUM,Residential,Seattle,4C (Marine),1980,48744.0,5,Residential,0.84,Composite,Window Wall,0.39,Medium,Heat Pump,LED,False,0.0,False,Certified,Seattle Open Data (2020)
BLDG_20304,THE KENNEDY BUILDING,Residential,Seattle,4C (Marine),2004,169931.0,7,Residential,0.93,Glass-heavy facade,Curtain Wall,0.74,Medium,High Efficiency HVAC,Smart LED,False,0.0,False,Gold,Seattle Open Data (2020)
