cost_id,building_id,estimated_construction_cost,actual_construction_cost,cost_overrun_amount,cost_overrun_percentage,contractor_name,project_start_date,planned_duration_days,delay_days,delay_reason,planned_completion_date,actual_duration_days,actual_completion_date,material_cost,labor_cost,equipment_cost,design_consulting_cost,permit_cost
COST_0001,BLDG_20209,5821000.0,5884400.0,63400.0,0.0109,Emerald City Construction,2013-08-11,198,0,None,2014-02-25,198,2014-02-25,2664400.0,1979900.0,683200.0,402100.0,154800.0
COST_0002,BLDG_25710,6361100.0,6361100.0,0.0,0.0,Cascade Building Group,2013-11-19,180,0,None,2014-05-18,180,2014-05-18,3031400.0,2099700.0,751500.0,330900.0,147600.0
COST_0003,BLDG_21221,6906300.0,8271700.0,1365400.0,0.1977,Pacific Structures,2013-06-10,198,141,Material Shortage,2013-12-25,339,2014-05-15,3495200.0,3086400.0,793500.0,498800.0,397800.0
COST_0004,BLDG_23161,22845100.0,26566600.0,3721500.0,0.1629,Pacific Structures,2013-10-08,242,61,Design Change,2014-06-07,303,2014-08-07,12539000.0,9946600.0,2667800.0,1329100.0,84100.0
COST_0005,BLDG_21373,10850400.0,11395100.0,544700.0,0.0502,Pacific Structures,2013-11-25,213,48,Contractor Delay,2014-06-26,261,2014-08-13,5163300.0,3671300.0,1074800.0,664600.0,821100.0
COST_0006,BLDG_19776,8454500.0,8454500.0,0.0,0.0,Pacific Structures,2013-08-25,221,0,None,2014-04-03,221,2014-04-03,3832200.0,2959100.0,753300.0,436800.0,473100.0
COST_0007,BLDG_22759,5687800.0,5730500.0,42700.0,0.0075,Pacific Structures,2013-04-10,203,0,None,2013-10-30,203,2013-10-30,2516900.0,1903800.0,637200.0,338000.0,334600.0
COST_0008,BLDG_50000,15643300.0,15643300.0,0.0,0.0,Cascade Building Group,2013-01-23,213,0,None,2013-08-24,213,2013-08-24,7174300.0,5816200.0,1657600.0,956100.0,39100.0
COST_0009,BLDG_21172,6439400.0,6439400.0,0.0,0.0,Pacific Structures,2013-11-12,183,0,None,2014-05-14,183,2014-05-14,2954300.0,2239300.0,609700.0,431700.0,204400.0
COST_0010,BLDG_25745,16356500.0,16356500.0,0.0,0.0,Cascade Building Group,2013-10-20,200,0,None,2014-05-08,200,2014-05-08,7055500.0,5703600.0,1317900.0,914500.0,1365000.0
COST_0011,BLDG_22136,11221900.0,11918800.0,696900.0,0.0621,Cascade Building Group,2013-01-03,202,29,Weather,2013-07-24,231,2013-08-22,5490000.0,4262700.0,1317600.0,731100.0,117400.0
COST_0012,BLDG_25603,30220700.0,30471500.0,250800.0,0.0083,Cascade Building Group,2013-07-27,265,0,None,2014-04-18,265,2014-04-18,13285600.0,9852600.0,3019600.0,1564100.0,2749600.0
COST_0013,BLDG_411,29205500.0,29629000.0,423500.0,0.0145,Summit Contractors,2013-03-17,288,0,None,2013-12-30,288,2013-12-30,13668700.0,9707600.0,2456900.0,2022800.0,1773000.0
COST_0014,BLDG_21650,6082200.0,6082200.0,0.0,0.0,Apex Builders,2013-07-08,223,0,None,2014-02-16,223,2014-02-16,2777800.0,2128200.0,516900.0,359100.0,300200.0
COST_0015,BLDG_19808,10548900.0,10548900.0,0.0,0.0,Emerald City Construction,2013-05-22,208,0,None,2013-12-16,208,2013-12-16,4883700.0,3987500.0,1109100.0,580700.0,-12100.0
COST_0016,BLDG_20304,44943000.0,50844000.0,5901000.0,0.1313,Summit Contractors,2013-03-14,291,42,Design Change,2013-12-30,333,2014-02-10,21414600.0,18843600.0,5178600.0,3013300.0,2393900.0
COST_0017,BLDG_50924,11695500.0,11725900.0,30400.0,0.0026,Apex Builders,2020-05-19,250,0,None,2021-01-24,250,2021-01-24,5013100.0,4378000.0,1050900.0,699200.0,584700.0
COST_0018,BLDG_21138,15132600.0,15235500.0,102900.0,0.0068,Summit Contractors,2013-02-23,220,0,None,2013-10-01,220,2013-10-01,7167000.0,5000700.0,1304100.0,988300.0,775400.0
COST_0019,BLDG_19754,9025700.0,9252200.0,226500.0,0.0251,Cascade Building Group,2013-10-11,210,37,Contractor Delay,2014-05-09,247,2014-06-15,4097300.0,3492900.0,1067600.0,642900.0,-48500.0
COST_0020,BLDG_49798,6516400.0,7313400.0,797000.0,0.1223,Cascade Building Group,2013-07-12,180,74,Supply Chain Issue,2014-01-08,254,2014-03-23,3438800.0,2660600.0,624500.0,392900.0,196600.0
COST_0021,BLDG_24989,23901800.0,23901800.0,0.0,0.0,Pacific Structures,2013-08-12,266,0,None,2014-05-05,266,2014-05-05,10128600.0,8115600.0,1994100.0,1221100.0,2442400.0
COST_0022,BLDG_21497,8854500.0,8856300.0,1800.0,0.0002,Cascade Building Group,2013-01-18,214,0,None,2013-08-20,214,2013-08-20,4128500.0,3293400.0,928100.0,559000.0,-52700.0
COST_0023,BLDG_52012,8464300.0,9643400.0,1179100.0,0.1393,Summit Contractors,2021-02-12,223,74,Material Shortage,2021-09-23,297,2021-12-06,4098700.0,3518300.0,868900.0,652800.0,504700.0
COST_0024,BLDG_26850,6278500.0,6315500.0,37000.0,0.0059,Emerald City Construction,2013-03-23,180,0,None,2013-09-19,180,2013-09-19,2830000.0,2300000.0,671100.0,387100.0,127300.0
COST_0025,BLDG_29,32772500.0,32772500.0,0.0,0.0,Cascade Building Group,2013-07-07,256,0,None,2014-03-20,256,2014-03-20,15608000.0,11931700.0,3263000.0,1691000.0,278800.0
COST_0026,BLDG_550,19817700.0,19914800.0,97100.0,0.0049,Apex Builders,2013-01-18,210,0,None,2013-08-16,210,2013-08-16,8457000.0,7329700.0,1761500.0,1163700.0,1202900.0
COST_0027,BLDG_25763,7940900.0,8553100.0,612200.0,0.0771,Summit Contractors,2013-08-25,189,65,Labor Shortage,2014-03-02,254,2014-05-06,3772300.0,3223800.0,708100.0,539700.0,309200.0
COST_0028,BLDG_19572,8959600.0,9196100.0,236500.0,0.0264,Apex Builders,2013-10-23,180,75,Permit Delay,2014-04-21,255,2014-07-05,4148400.0,3018300.0,761700.0,520100.0,747600.0
COST_0029,BLDG_23340,26366800.0,26366800.0,0.0,0.0,Pacific Structures,2013-01-15,287,0,None,2013-10-29,287,2013-10-29,12497000.0,10018600.0,2727200.0,1763900.0,-639900.0
COST_0030,BLDG_19753,6568600.0,6954800.0,386200.0,0.0588,Pacific Structures,2013-12-04,189,77,Permit Delay,2014-06-11,266,2014-08-27,3059800.0,2589600.0,767300.0,379000.0,159100.0
COST_0031,BLDG_50190,16877100.0,16976700.0,99600.0,0.0059,Emerald City Construction,2014-10-08,204,0,None,2015-04-30,204,2015-04-30,7952300.0,5882400.0,1826500.0,972600.0,342900.0
COST_0032,BLDG_399,483827300.0,490310600.0,6483300.0,0.0134,Summit Contractors,2013-05-17,1281,0,None,2016-11-18,1281,2016-11-18,227058100.0,161531000.0,50852100.0,33502300.0,17367100.0
