operation_id,building_id,reporting_year,annual_energy_use_kbtu,energy_use_intensity_kbtu_sqft,annual_electricity_cost,annual_water_cost,annual_maintenance_cost,annual_operating_cost,carbon_emissions_metric_tons,energy_star_score,peak_demand_kw,water_use_gallons,operating_cost_per_sqft,emissions_intensity,energy_efficiency_rating,energy_cost_per_sqft,emissions_per_sqft,high_energy_use_flag,high_emissions_flag,retrofit_needed_flag
OP_0001,BLDG_20209,2024,807665.0,32.29999924,28300.0,12300.0,49200.0,89800.0,4.7,79,90.2,820000.0,3.26,0.21,Good,1.03,0.0002,False,False,False
OP_0002,BLDG_25710,2024,325255.0,12.69999981,4600.0,12400.0,41100.0,58100.0,1.9,100,80.2,826670.0,2.27,0.07,Excellent,0.18,0.0001,False,False,False
OP_0003,BLDG_21221,2024,1051036.0,55.20000076,36800.0,5100.0,26700.0,68600.0,26.1,50,72.8,340000.0,3.28,1.25,Fair,1.76,0.0012,False,False,True
OP_0004,BLDG_23161,2024,1784349.0,39.5,62500.0,30300.0,61700.0,154500.0,10.3,88,145.3,2020000.0,3.42,0.23,Excellent,1.38,0.0002,False,False,False
OP_0005,BLDG_21373,2024,486015.0,13.60000038,6800.0,22600.0,74500.0,103900.0,2.8,100,136.7,1506670.0,2.38,0.06,Excellent,0.16,0.0001,False,False,False
OP_0006,BLDG_19776,2024,2071749.0,73.59999847,72500.0,7500.0,31100.0,111100.0,12.0,30,101.9,500000.0,3.95,0.43,Poor,2.58,0.0004,True,False,True
OP_0007,BLDG_22759,2024,898142.0,34.5,31400.0,13200.0,38600.0,83200.0,5.2,48,91.0,880000.0,3.2,0.2,Fair,1.21,0.0002,False,False,True
OP_0008,BLDG_50000,2024,3209126.0,59.70000076,112300.0,38100.0,88100.0,238500.0,83.5,49,260.0,2540000.0,3.2,1.23,Fair,1.51,0.0011,True,True,True
OP_0009,BLDG_21172,2024,641140.0,27.20000076,22400.0,4800.0,36200.0,63400.0,3.7,57,81.0,320000.0,2.69,0.16,Fair,0.95,0.0002,False,False,True
OP_0010,BLDG_25745,2024,869125.0,17.79999924,30400.0,16500.0,81900.0,128800.0,60.5,81,159.6,1100000.0,2.64,1.24,Excellent,0.62,0.0012,False,False,False
OP_0011,BLDG_22136,2024,1559098.0,29.89999962,54600.0,27300.0,74800.0,156700.0,9.0,68,175.3,1820000.0,3.0,0.17,Good,1.05,0.0002,False,False,False
OP_0012,BLDG_25603,2024,3222669.0,29.60000038,91000.0,66700.0,159100.0,316800.0,76.7,91,420.4,4446670.0,2.41,0.7,Excellent,0.69,0.0006,False,False,False
OP_0013,BLDG_411,2024,5120792.0,47.29999924,179200.0,24400.0,176400.0,380000.0,139.0,78,359.2,1626670.0,3.48,1.27,Good,1.64,0.0013,False,True,False
OP_0014,BLDG_21650,2024,1583142.0,54.90000153,55400.0,14500.0,47700.0,117600.0,42.7,77,95.0,966670.0,4.08,1.48,Good,1.92,0.0015,True,True,False
OP_0015,BLDG_19808,2024,1522872.0,31.20000076,53300.0,20800.0,68000.0,142100.0,8.8,60,166.3,1386670.0,2.92,0.18,Good,1.09,0.0002,False,False,False
OP_0016,BLDG_20304,2024,3326959.0,29.10000038,116400.0,77000.0,218200.0,411600.0,19.3,91,543.2,5133330.0,2.42,0.17,Excellent,0.68,0.0001,False,False,False
OP_0017,BLDG_50924,2024,3597795.0,65.69999695,125900.0,23100.0,70600.0,219600.0,79.3,42,193.8,1540000.0,4.01,1.45,Fair,2.3,0.0014,True,True,True
OP_0018,BLDG_21138,2024,1968366.0,41.90000153,39500.0,11000.0,76400.0,126900.0,28.5,75,155.3,733330.0,2.7,0.61,Good,0.84,0.0006,False,False,False
OP_0019,BLDG_19754,2024,3350160.0,85.0,117300.0,18900.0,46000.0,182200.0,97.7,43,142.4,1260000.0,4.52,2.42,Fair,2.91,0.0024,True,True,True
OP_0020,BLDG_49798,2024,758540.0,33.70000076,26500.0,12900.0,32400.0,71800.0,4.4,53,97.6,860000.0,2.55,0.19,Fair,0.94,0.0002,False,False,True
OP_0021,BLDG_24989,2024,10362643.0,101.9000015,362700.0,47000.0,188300.0,598000.0,463.6,12,381.1,3133330.0,5.88,4.56,Poor,3.57,0.0046,True,True,True
OP_0022,BLDG_21497,2024,725947.0,21.60000038,25400.0,19700.0,66900.0,112000.0,4.2,77,130.2,1313330.0,2.83,0.11,Good,0.64,0.0001,False,False,False
OP_0023,BLDG_52012,2024,1069449.0,34.20000076,37400.0,14200.0,34600.0,86200.0,29.4,99,98.2,946670.0,2.76,0.94,Excellent,1.2,0.0009,False,False,False
OP_0024,BLDG_26850,2024,391058.0,16.20000076,13700.0,11100.0,39600.0,64400.0,2.3,100,75.8,740000.0,2.66,0.09,Excellent,0.57,0.0001,False,False,False
OP_0025,BLDG_29,2024,3610078.0,53.29999924,75400.0,46300.0,108200.0,229900.0,95.6,96,280.1,3086670.0,2.6,1.65,Excellent,0.85,0.0011,False,False,False
OP_0026,BLDG_550,2024,329908.0,5.099999905,11500.0,19200.0,91900.0,122600.0,6.0,89,207.6,1280000.0,1.9,0.09,Excellent,0.18,0.0001,False,False,False
OP_0027,BLDG_25763,2024,931589.0,26.5,32600.0,14300.0,51800.0,98700.0,5.4,74,100.8,953330.0,3.24,0.18,Good,1.07,0.0002,False,False,False
OP_0028,BLDG_19572,2024,476416.0,15.69999981,16700.0,8400.0,48300.0,73400.0,2.8,56,104.5,560000.0,2.42,0.09,Fair,0.55,0.0001,False,False,True
OP_0029,BLDG_23340,2024,2249554.0,28.0,78700.0,46000.0,122100.0,246800.0,13.0,89,332.5,3066670.0,2.38,0.18,Excellent,0.76,0.0001,False,False,False
OP_0030,BLDG_19753,2024,1339774.0,100.3000031,46900.0,12200.0,47000.0,106100.0,53.5,75,88.1,813330.0,3.98,2.01,Good,1.76,0.002,True,True,False
OP_0031,BLDG_50190,2024,1904965.0,31.5,44300.0,32000.0,68600.0,144900.0,46.1,95,191.7,2133330.0,2.4,0.76,Excellent,0.73,0.0008,False,False,False
OP_0032,BLDG_399,2024,42176492.0,37.40000153,1476200.0,277100.0,1812900.0,3566200.0,436.4,88,4548.2,18473330.0,2.52,0.39,Excellent,1.04,0.0003,False,False,False
OP_0033,BLDG_19874,2024,2046856.0,41.09999847,71600.0,11800.0,95500.0,178900.0,11.9,52,199.8,786670.0,3.1,0.24,Fair,1.24,0.0002,False,False,True
OP_0034,BLDG_229,2024,2469600.0,35.0,86400.0,12500.0,75900.0,174800.0,71.1,70,225.2,833330.0,2.59,1.06,Good,1.28,0.0011,False,False,False
OP_0035,BLDG_23567,2024,1020581.0,45.20000076,14300.0,9100.0,37500.0,60900.0,44.5,89,72.6,606670.0,2.69,1.97,Excellent,0.63,0.002,True,True,False
OP_0036,BLDG_22609,2024,499171.0,16.5,17500.0,6400.0,38700.0,62600.0,2.9,91,96.4,426670.0,2.07,0.1,Excellent,0.58,0.0001,False,False,False
OP_0037,BLDG_23723,2024,4066924.0,50.5,142300.0,36100.0,82700.0,261100.0,80.5,22,249.3,2406670.0,3.85,1.44,Poor,2.1,0.0012,True,True,True
OP_0038,BLDG_678,2024,7958602.0,47.70000076,278600.0,39800.0,285800.0,604200.0,370.6,87,538.4,2653330.0,3.62,2.22,Excellent,1.67,0.0022,False,True,False
OP_0039,BLDG_331,2024,7179538.0,44.70000076,208700.0,48400.0,308200.0,565300.0,108.7,83,666.0,3226670.0,2.76,0.62,Excellent,1.02,0.0005,False,False,False
OP_0040,BLDG_63,2024,74641408.0,75.09999847,2612400.0,536200.0,1717000.0,4865600.0,2287.8,75,3583.3,35746670.0,4.49,2.47,Good,2.41,0.0021,False,False,False
OP_0041,BLDG_24112,2024,269648.0,11.10000038,9400.0,6700.0,37700.0,53800.0,3.6,57,83.6,446670.0,2.21,0.15,Fair,0.39,0.0001,False,False,True
OP_0042,BLDG_19976,2024,1728945.0,33.59999847,60500.0,24400.0,84900.0,169800.0,37.3,96,162.8,1626670.0,3.3,0.72,Excellent,1.17,0.0007,False,False,False
OP_0043,BLDG_24803,2024,2528556.0,107.6999969,88500.0,4600.0,39200.0,132300.0,48.2,2,96.9,306670.0,5.21,1.9,Poor,3.49,0.0019,False,False,True
OP_0044,BLDG_25850,2024,1348179.0,31.5,47200.0,30700.0,83300.0,161200.0,7.8,98,198.6,2046670.0,2.55,0.19,Excellent,0.75,0.0001,False,False,False
OP_0045,BLDG_20741,2024,1470425.0,36.09999847,51500.0,18700.0,68000.0,138200.0,8.5,75,134.8,1246670.0,3.39,0.21,Good,1.26,0.0002,False,False,False
OP_0046,BLDG_23228,2024,13391220.0,294.2000122,468700.0,8200.0,65900.0,542800.0,407.3,65,153.8,546670.0,11.92,8.95,Good,10.3,0.0089,True,True,False
OP_0047,BLDG_21921,2024,5431374.0,155.3000031,190100.0,5500.0,50900.0,246500.0,117.8,85,106.9,366670.0,7.47,3.57,Excellent,5.76,0.0036,False,False,False
OP_0048,BLDG_858,2024,26399488.0,81.80000305,924000.0,235300.0,550100.0,1709400.0,165.7,57,1101.9,15686670.0,5.33,0.52,Fair,2.88,0.0005,False,False,True
OP_0049,BLDG_21941,2024,11530373.0,56.40000153,403600.0,139400.0,330000.0,873000.0,315.7,49,922.0,9293330.0,3.3,1.34,Fair,1.53,0.0012,True,True,True
