building_id,building_name,building_type,location_city,climate_zone,year_built,building_age,floor_area_sqft,number_of_floors,occupancy_type,average_occupancy_rate,primary_material,facade_type,window_to_wall_ratio,insulation_level,hvac_system_type,lighting_system_type,renewable_energy_flag,solar_panel_capacity_kw,green_roof_flag,leed_certification_level,estimated_construction_cost,actual_construction_cost,cost_overrun_amount,cost_overrun_percentage,cost_per_sqft,contractor_name,delay_days,delay_reason,construction_delay_flag,annual_energy_use_kbtu,energy_use_intensity_kbtu_sqft,annual_electricity_cost,annual_water_cost,annual_maintenance_cost,annual_operating_cost,operating_cost_per_sqft,carbon_emissions_metric_tons,emissions_intensity,energy_star_score,energy_efficiency_rating,recommended_action,estimated_retrofit_cost,estimated_annual_savings,payback_period_years,estimated_emissions_reduction_percent,retrofit_priority,implementation_complexity,lifecycle_cost_estimate,lifecycle_cost_per_sqft,building_performance_risk_score,building_performance_risk_category
BLDG_20209,BRITTANY HOUSE CONDOMINIUM,Residential,Seattle,4C (Marine),1977,47,27504.0,4,Residential,0.92,Composite,Masonry,0.26,High,Standard HVAC,Smart LED,False,0.0,False,Certified,5821000.0,5884400.0,63400.0,0.0109,213.95,Emerald City Construction,0,None,False,807665.0,32.29999924,28300.0,12300.0,49200.0,89800.0,3.26,4.7,0.21,79,Good,Building Automation System,18600.0,6700.0,2.78,15.84,Critical,Medium,8578400.0,311.9,4,Medium Risk
BLDG_25710,GEE HOW OAK TIN,Residential,Seattle,4C (Marine),1907,117,25600.0,3,Residential,0.91,Brick,Masonry,0.25,High,Heat Pump,Smart LED,True,123.6,False,Gold,6361100.0,6361100.0,0.0,0.0,248.48,Cascade Building Group,0,None,False,325255.0,12.69999981,4600.0,12400.0,41100.0,58100.0,2.27,1.9,0.07,100,Excellent,LED Lighting Retrofit,10200.0,800.0,12.75,11.56,Low,Low,8104100.0,316.57,1,Low Risk
BLDG_21221,KING COUNTY METRO NORTH FACILITIES MAINTENANCE,Government,Seattle,4C (Marine),2009,15,20909.0,1,Government,0.91,Timber,Insulated Panels,0.45,Medium,Electric Resistance,Fluorescent,False,0.0,False,None,6906300.0,8271700.0,1365400.0,0.1977,395.6,Pacific Structures,141,Material Shortage,True,1051036.0,55.20000076,36800.0,5100.0,26700.0,68600.0,3.28,26.1,1.25,50,Fair,LED Lighting Retrofit,8900.0,6600.0,1.35,8.37,Critical,Low,10329700.0,494.03,5,Medium Risk
BLDG_23161,LESCHI CENTER,Healthcare,Seattle,4C (Marine),1988,36,45145.0,1,Healthcare,0.87,Composite,Insulated Panels,0.31,Medium,Heat Pump,LED,False,0.0,False,Gold,22845100.0,26566600.0,3721500.0,0.1629,588.47,Pacific Structures,61,Design Change,True,1784349.0,39.5,62500.0,30300.0,61700.0,154500.0,3.42,10.3,0.23,88,Excellent,LED Lighting Retrofit,15600.0,11200.0,1.39,11.13,Critical,Low,31201600.0,691.14,3,Low Risk
BLDG_21373,PAUL REVERE APTS,Residential,Seattle,4C (Marine),1923,101,43606.0,4,Residential,0.97,Concrete,Window Wall,0.43,High,Heat Pump,Smart LED,True,279.4,False,Gold,10850400.0,11395100.0,544700.0,0.0502,261.32,Pacific Structures,48,Contractor Delay,True,486015.0,13.60000038,6800.0,22600.0,74500.0,103900.0,2.38,2.8,0.06,100,Excellent,LED Lighting Retrofit,15200.0,1200.0,12.67,9.67,Low,Low,14512100.0,332.8,1,Low Risk
BLDG_19776,AMAZON DISTRIBUTION CENTER,Mixed Use,Seattle,4C (Marine),2002,22,28142.0,1,Mixed Use,0.86,Timber,Curtain Wall,0.45,Low,Standard HVAC,Fluorescent,False,0.0,False,None,8454500.0,8454500.0,0.0,0.0,300.42,Pacific Structures,0,None,False,2071749.0,73.59999847,72500.0,7500.0,31100.0,111100.0,3.95,12.0,0.43,30,Poor,Deep Energy Retrofit,178200.0,35100.0,5.08,45.92,Critical,High,11787500.0,418.86,6,Medium Risk
BLDG_22759,GREENWOOD COURT MANOR,Residential,Seattle,4C (Marine),1995,29,26040.0,3,Residential,0.94,Steel,Curtain Wall,0.34,Medium,High Efficiency HVAC,Fluorescent,False,0.0,False,None,5687800.0,5730500.0,42700.0,0.0075,220.07,Pacific Structures,0,None,False,898142.0,34.5,31400.0,13200.0,38600.0,83200.0,3.2,5.2,0.2,48,Fair,LED Lighting Retrofit,10300.0,5700.0,1.81,11.13,Critical,Low,8226500.0,315.92,3,Low Risk
BLDG_50000,NINE & PINE APARTMENTS,Residential,Seattle,4C (Marine),2014,10,74509.0,7,Residential,0.89,Concrete,Rain Screen,0.32,Medium,Standard HVAC,LED,False,0.0,False,None,15643300.0,15643300.0,0.0,0.0,209.95,Cascade Building Group,0,None,False,3209126.0,59.70000076,112300.0,38100.0,88100.0,238500.0,3.2,83.5,1.23,49,Fair,HVAC Upgrade,123000.0,24700.0,4.98,24.59,High,Medium,22798300.0,305.98,6,Medium Risk
BLDG_21172,LEDGER MARINE CHARTERS,Office,Seattle,4C (Marine),1981,43,23600.0,2,Office,0.91,Composite,Masonry,0.34,Low,Standard HVAC,LED,False,0.0,False,None,6439400.0,6439400.0,0.0,0.0,272.86,Pacific Structures,0,None,False,641140.0,27.20000076,22400.0,4800.0,36200.0,63400.0,2.69,3.7,0.16,57,Fair,Insulation Improvement,24500.0,2500.0,9.8,15.51,Medium,Medium,8341400.0,353.45,5,Medium Risk
BLDG_25745,TRINITY PARISH EPISCOPAL CHURCH,Mixed Use,Seattle,4C (Marine),1900,124,48850.0,1,Mixed Use,0.95,Glass-heavy facade,Curtain Wall,0.83,High,High Efficiency HVAC,Smart LED,False,0.0,False,None,16356500.0,16356500.0,0.0,0.0,334.83,Cascade Building Group,0,None,False,869125.0,17.79999924,30400.0,16500.0,81900.0,128800.0,2.64,60.5,1.24,81,Excellent,Building Automation System,26100.0,8700.0,3.0,11.85,Critical,Medium,20220500.0,413.93,4,Medium Risk
BLDG_22136,COLUMBIA PLACE,Residential,Seattle,4C (Marine),1983,41,52228.0,4,Residential,0.96,Composite,Window Wall,0.5,Medium,District Heating,LED,False,0.0,False,Certified,11221900.0,11918800.0,696900.0,0.0621,228.21,Cascade Building Group,29,Weather,True,1559098.0,29.89999962,54600.0,27300.0,74800.0,156700.0,3.0,9.0,0.17,68,Good,Water Efficiency Upgrade,13400.0,7600.0,1.76,4.62,Critical,Low,16619800.0,318.22,4,Medium Risk
BLDG_25603,TRIO,Residential,Seattle,4C (Marine),2006,18,131500.0,6,Residential,0.86,Concrete,Rain Screen,0.4,High,District Heating,Smart LED,True,145.3,False,Platinum,30220700.0,30471500.0,250800.0,0.0083,231.72,Cascade Building Group,0,None,False,3222669.0,29.60000038,91000.0,66700.0,159100.0,316800.0,2.41,76.7,0.7,91,Excellent,Solar Panel Installation,200400.0,12700.0,15.78,25.52,Low,Medium,39975500.0,304.0,0,Low Risk
BLDG_411,JOSHUA GREEN BUILDING,Office,Seattle,4C (Marine),1910,114,109266.0,10,Office,0.92,Composite,Rain Screen,0.36,Medium,District Heating,Smart LED,False,0.0,False,Certified,29205500.0,29629000.0,423500.0,0.0145,271.16,Summit Contractors,0,None,False,5120792.0,47.29999924,179200.0,24400.0,176400.0,380000.0,3.48,139.0,1.27,78,Good,LED Lighting Retrofit,33600.0,32300.0,1.04,8.25,Critical,Low,41029000.0,375.5,4,Medium Risk
BLDG_21650,THE MARK SPENCER,Residential,Seattle,4C (Marine),1958,66,28833.0,5,Residential,0.92,Composite,Rain Screen,0.4,High,District Heating,LED,False,0.0,False,Certified,6082200.0,6082200.0,0.0,0.0,210.95,Apex Builders,0,None,False,1583142.0,54.90000153,55400.0,14500.0,47700.0,117600.0,4.08,42.7,1.48,77,Good,LED Lighting Retrofit,11100.0,10000.0,1.11,9.46,Critical,Low,9610200.0,333.31,6,Medium Risk
BLDG_19808,ARCADIAN COURT CONDOMINIUM,Residential,Seattle,4C (Marine),1980,44,48744.0,5,Residential,0.84,Composite,Window Wall,0.39,Medium,Heat Pump,LED,False,0.0,False,Certified,10548900.0,10548900.0,0.0,0.0,216.41,Emerald City Construction,0,None,False,1522872.0,31.20000076,53300.0,20800.0,68000.0,142100.0,2.92,8.8,0.18,60,Good,LED Lighting Retrofit,16600.0,9600.0,1.73,10.95,Critical,Low,14811900.0,303.87,3,Low Risk
BLDG_20304,THE KENNEDY BUILDING,Residential,Seattle,4C (Marine),2004,20,169931.0,7,Residential,0.93,Glass-heavy facade,Curtain Wall,0.74,Medium,High Efficiency HVAC,Smart LED,False,0.0,False,Gold,44943000.0,50844000.0,5901000.0,0.1313,299.2,Summit Contractors,42,Design Change,True,3326959.0,29.10000038,116400.0,77000.0,218200.0,411600.0,2.42,19.3,0.17,91,Excellent,Solar Panel Installation,251600.0,16400.0,15.34,15.47,Low,Medium,63192000.0,371.87,1,Low Risk
BLDG_50924,North Star Apartments,Residential,Seattle,4C (Marine),2022,2,54791.0,6,Residential,0.86,Steel,Masonry,0.44,Medium,Heat Pump,LED,False,0.0,False,None,11695500.0,11725900.0,30400.0,0.0026,214.01,Apex Builders,0,None,False,3597795.0,65.69999695,125900.0,23100.0,70600.0,219600.0,4.01,79.3,1.45,42,Fair,Building Automation System,28200.0,22400.0,1.26,14.66,Critical,Medium,18313900.0,334.25,6,Medium Risk
