recommendation_id,building_id,recommended_action,estimated_retrofit_cost,estimated_annual_savings,payback_period_years,estimated_emissions_reduction_percent,retrofit_priority,implementation_complexity
REC_0001,BLDG_20209,Building Automation System,18600.0,6700.0,2.78,15.84,Critical,Medium
REC_0002,BLDG_25710,LED Lighting Retrofit,10200.0,800.0,12.75,11.56,Low,Low
REC_0003,BLDG_21221,LED Lighting Retrofit,8900.0,6600.0,1.35,8.37,Critical,Low
REC_0004,BLDG_23161,LED Lighting Retrofit,15600.0,11200.0,1.39,11.13,Critical,Low
REC_0005,BLDG_21373,LED Lighting Retrofit,15200.0,1200.0,12.67,9.67,Low,Low
REC_0006,BLDG_19776,Deep Energy Retrofit,178200.0,35100.0,5.08,45.92,Critical,High
REC_0007,BLDG_22759,LED Lighting Retrofit,10300.0,5700.0,1.81,11.13,Critical,Low
REC_0008,BLDG_50000,HVAC Upgrade,123000.0,24700.0,4.98,24.59,High,Medium
REC_0009,BLDG_21172,Insulation Improvement,24500.0,2500.0,9.8,15.51,Medium,Medium
REC_0010,BLDG_25745,Building Automation System,26100.0,8700.0,3.0,11.85,Critical,Medium
REC_0011,BLDG_22136,Water Efficiency Upgrade,13400.0,7600.0,1.76,4.62,Critical,Low
REC_0012,BLDG_25603,Solar Panel Installation,200400.0,12700.0,15.78,25.52,Low,Medium
REC_0013,BLDG_411,LED Lighting Retrofit,33600.0,32300.0,1.04,8.25,Critical,Low
REC_0014,BLDG_21650,LED Lighting Retrofit,11100.0,10000.0,1.11,9.46,Critical,Low
REC_0015,BLDG_19808,LED Lighting Retrofit,16600.0,9600.0,1.73,10.95,Critical,Low
REC_0016,BLDG_20304,Solar Panel Installation,251600.0,16400.0,15.34,15.47,Low,Medium
REC_0017,BLDG_50924,Building Automation System,28200.0,22400.0,1.26,14.66,Critical,Medium
REC_0018,BLDG_21138,LED Lighting Retrofit,16100.0,7100.0,2.27,9.72,Critical,Low
REC_0019,BLDG_19754,HVAC Upgrade,73500.0,25800.0,2.85,18.99,Critical,Medium
REC_0020,BLDG_49798,LED Lighting Retrofit,10900.0,4800.0,2.27,11.74,Critical,Low
REC_0021,BLDG_24989,Deep Energy Retrofit,487200.0,180600.0,2.7,33.36,Critical,High
REC_0022,BLDG_21497,Water Efficiency Upgrade,11100.0,5500.0,2.02,4.61,Critical,Low
REC_0023,BLDG_52012,Water Efficiency Upgrade,9600.0,4000.0,2.4,2.72,Critical,Low
REC_0024,BLDG_26850,Water Efficiency Upgrade,8400.0,3100.0,2.71,2.55,Critical,Low
REC_0025,BLDG_29,LED Lighting Retrofit,27800.0,13600.0,2.04,8.58,Critical,Low
REC_0026,BLDG_550,Solar Panel Installation,111200.0,6200.0,17.94,25.78,Low,Medium
REC_0027,BLDG_25763,LED Lighting Retrofit,11500.0,5900.0,1.95,10.53,Critical,Low
REC_0028,BLDG_19572,LED Lighting Retrofit,11500.0,3000.0,3.83,8.38,Critical,Low
REC_0029,BLDG_23340,Solar Panel Installation,163000.0,10000.0,16.3,19.1,Low,Medium
REC_0030,BLDG_19753,Building Automation System,18300.0,9400.0,1.95,11.04,Critical,Medium
REC_0031,BLDG_50190,Water Efficiency Upgrade,14900.0,9000.0,1.66,2.14,Critical,Low
REC_0032,BLDG_399,Solar Panel Installation,525000.0,36200.0,14.5,15.8,Low,Medium
REC_0033,BLDG_19874,Insulation Improvement,48300.0,8000.0,6.04,17.29,High,Medium
REC_0034,BLDG_229,Solar Panel Installation,114800.0,6500.0,17.66,25.22,Low,Medium
REC_0035,BLDG_23567,LED Lighting Retrofit,9300.0,2600.0,3.58,9.62,Critical,Low
REC_0036,BLDG_22609,Water Efficiency Upgrade,9400.0,1800.0,5.22,2.58,High,Low
REC_0037,BLDG_23723,Deep Energy Retrofit,344700.0,72200.0,4.77,44.95,Critical,High
REC_0038,BLDG_678,Solar Panel Installation,247600.0,16100.0,15.38,19.05,Low,Medium
REC_0039,BLDG_331,Building Automation System,80700.0,46700.0,1.73,11.9,Critical,Medium
REC_0040,BLDG_63,Solar Panel Installation,525000.0,36200.0,14.5,22.57,Low,Medium
REC_0041,BLDG_24112,Building Automation System,17500.0,3300.0,5.3,13.92,High,Medium
REC_0042,BLDG_19976,Water Efficiency Upgrade,13300.0,6800.0,1.96,4.28,Critical,Low
REC_0043,BLDG_24803,HVAC Upgrade,51800.0,19500.0,2.66,21.04,Critical,Medium
