building_id,building_name,building_type,location_city,climate_zone,year_built,floor_area_sqft,number_of_floors,occupancy_type,average_occupancy_rate,primary_material,facade_type,window_to_wall_ratio,insulation_level,hvac_system_type,lighting_system_type,renewable_energy_flag,solar_panel_capacity_kw,green_roof_flag,leed_certification_level,data_source,building_age,sustainability_score_band,building_performance_risk_score,building_performance_risk_category,lifecycle_cost_estimate,lifecycle_cost_per_sqft
BLDG_20209,BRITTANY HOUSE CONDOMINIUM,Residential,Seattle,4C (Marine),1977,27504.0,4,Residential,0.92,Composite,Masonry,0.26,High,Standard HVAC,Smart LED,False,0.0,False,Certified,Seattle Open Data (2020),47,Moderate,4,Medium Risk,8578400.0,311.9
BLDG_25710,GEE HOW OAK TIN,Residential,Seattle,4C (Marine),1907,25600.0,3,Residential,0.91,Brick,Masonry,0.25,High,Heat Pump,Smart LED,True,123.6,False,Gold,Seattle Open Data (2020),117,High,1,Low Risk,8104100.0,316.57
BLDG_21221,KING COUNTY METRO NORTH FACILITIES MAINTENANCE,Government,Seattle,4C (Marine),2009,20909.0,1,Government,0.91,Timber,Insulated Panels,0.45,Medium,Electric Resistance,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),15,Low,5,Medium Risk,10329700.0,494.03
BLDG_23161,LESCHI CENTER,Healthcare,Seattle,4C (Marine),1988,45145.0,1,Healthcare,0.87,Composite,Insulated Panels,0.31,Medium,Heat Pump,LED,False,0.0,False,Gold,Seattle Open Data (2020),36,High,3,Low Risk,31201600.0,691.14
BLDG_21373,PAUL REVERE APTS,Residential,Seattle,4C (Marine),1923,43606.0,4,Residential,0.97,Concrete,Window Wall,0.43,High,Heat Pump,Smart LED,True,279.4,False,Gold,Seattle Open Data (2020),101,High,1,Low Risk,14512100.0,332.8
BLDG_19776,AMAZON DISTRIBUTION CENTER,Mixed Use,Seattle,4C (Marine),2002,28142.0,1,Mixed Use,0.86,Timber,Curtain Wall,0.45,Low,Standard HVAC,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),22,Low,6,Medium Risk,11787500.0,418.86
BLDG_22759,GREENWOOD COURT MANOR,Residential,Seattle,4C (Marine),1995,26040.0,3,Residential,0.94,Steel,Curtain Wall,0.34,Medium,High Efficiency HVAC,Fluorescent,False,0.0,False,None,Seattle Open Data (2020),29,Low,3,Low Risk,8226500.0,315.92
BLDG_50000,NINE & PINE APARTMENTS,Residential,Seattle,4C (Marine),2014,74509.0,7,Residential,0.89,Concrete,Rain Screen,0.32,Medium,Standard HVAC,LED,False,0.0,False,None,Seattle Open Data (2020),10,Low,6,Medium Risk,22798300.0,305.98
BLDG_21172,LEDGER MARINE CHARTERS,Office,Seattle,4C (Marine),1981,23600.0,2,Office,0.91,Composite,Masonry,0.34,Low,Standard HVAC,LED,False,0.0,False,None,Seattle Open Data (2020),43,Moderate,5,Medium Risk,8341400.0,353.45
BLDG_25745,TRINITY PARISH EPISCOPAL CHURCH,Mixed Use,Seattle,4C (Marine),1900,48850.0,1,Mixed Use,0.95,Glass-heavy facade,Curtain Wall,0.83,High,High Efficiency HVAC,Smart LED,False,0.0,False,None,Seattle Open Data (2020),124,Moderate,4,Medium Risk,20220500.0,413.93
